x,y,color
821,13,#ff0000
816,12,#ff0000
812,12,#ff0000
807,12,#ff0000
802,12,#ff0000
797,11,#ff0000
792,11,#ff0000
787,11,#ff0000
782,11,#ff0000
777,11,#ff0000
772,11,#ff0000
767,11,#ff0000
762,10,#7feb00
757,10,#7feb00
752,10,#ff0000
747,10,#ff0000
743,10,#ff0000
738,10,#ff0000
733,10,#ff0000
728,10,#ff0000
723,10,#ff0000
718,10,#ff0000
713,10,#ff0000
708,9,#ff0000
703,9,#ff0000
698,9,#ff0000
693,9,#ff0000
688,8,#ff0000
684,8,#ff0000
678,8,#7feb00
673,7,#7feb00
668,7,#7feb00
663,7,#7feb00
659,7,#7feb00
654,6,#7feb00
649,6,#7feb00
644,6,#ff0000
639,7,#ff0000
634,7,#ff0000
629,8,#ff0000
624,8,#7feb00
619,8,#7feb00
614,7,#7feb00
609,7,#ff0000
605,6,#7feb00
600,5,#ff0000
595,5,#ff0000
590,5,#ff0000
585,4,#ff0000
580,4,#ff0000
577,4,#ff0000
576,4,#ff0000
571,4,#ff0000
566,4,#ff0000
561,4,#7feb00
556,4,#7feb00
551,4,#ff0000
546,4,#ff0000
541,3,#ff0000
536,3,#ff0000
531,3,#ff0000
526,3,#ff0000
522,3,#ff0000
516,3,#ff0000
512,2,#ff0000
507,2,#ff0000
502,2,#ff0000
497,2,#ff0000
492,2,#ff0000
487,2,#ff0000
482,2,#ff0000
477,2,#ff0000
472,2,#ff0000
467,2,#ff0000
462,2,#ff0000
457,2,#ff0000
453,2,#ff0000
447,2,#ff0000
443,3,#ff0000
438,3,#ff0000
433,4,#ff0000
428,4,#ff0000
423,4,#7feb00
418,4,#7feb00
413,3,#7feb00
408,2,#7feb00
403,1,#ff0000
398,1,#ff0000
393,1,#ff0000
387,1,#ff0000
382,1,#ff0000
377,0,#ff0000
372,0,#ff0000
367,0,#ff0000
362,0,#ff0000
356,0,#ff0000
351,0,#ff0000
345,0,#ff0000
340,0,#ff0000
334,0,#ff0000
328,0,#ff0000
323,0,#ff0000
317,0,#ff0000
311,0,#ff0000
305,0,#ff0000
299,0,#ff0000
294,0,#ff0000
288,1,#ff0000
282,1,#ff0000
276,2,#ff0000
271,2,#ff0000
265,2,#ff0000
259,2,#ff0000
253,2,#ff0000
247,2,#ff0000
242,2,#ff0000
236,2,#ff0000
230,2,#ff0000
225,2,#ff0000
221,3,#ff0000
216,3,#ff0000
212,3,#ff0000
207,4,#ff0000
203,5,#ff0000
199,5,#ff0000
195,6,#ff0000
191,8,#ff0000
188,9,#ff0000
184,11,#ff0000
181,14,#ff0000
178,16,#ff0000
175,19,#ff0000
174,23,#ff0000
172,26,#ff0000
172,30,#ff0000
172,34,#ff0000
172,38,#ff0000
173,42,#ff0000
174,46,#7feb00
176,50,#7feb00
177,54,#7feb00
178,58,#7feb00
179,63,#7feb00
179,67,#ff0000
180,71,#7feb00
180,75,#7feb00
181,80,#7feb00
182,84,#7feb00
183,88,#7feb00
184,93,#ff0000
185,97,#ff0000
186,101,#ff0000
188,105,#ff0000
189,109,#7feb00
190,114,#ff0000
191,118,#ff0000
191,123,#ff0000
192,127,#ff0000
192,132,#ff0000
192,136,#ff0000
192,141,#ff0000
